geoid10,los_dist_score,los_acre_score,los_exp_score,los_total_score,la_dist_score,la_acre_score,la_exp_score,la_total_score,gw_score_loop_contiguous,los_gw_total_score,la_gw_total_score,totpop_2018,area,popdensity_sqmi,tothh_2018
"371830541102021","2","1","1","4","2","2","1","5","3","7","8",34,0.00324452716679268,10479.1848710609,"11"
"371830537113011","4","5","3","12","4","5","3","12","5","17","17",53,0.00992325903317561,5340.98725255579,"16"
"371830537121021","3","1","2","6","3","1","2","6","3","9","9",27,0.00478176725117605,5646.44797242265,"8"
"371830537113015","3","5","3","11","3","5","3","11","4","15","15",159,0.0123262921403334,12899.2561745092,"107"
"371830541041046","3","3","3","9","4","4","3","11","2","11","13",0,0.000416578057220942,0,"0"
"371830540082008","4","3","3","10","4","4","4","12","2","12","14",20,0.00242326597731931,8253.32430991526,"10"
"371830540134046","2","5","2","9","2","5","2","9","5","14","14",0,0.00140067574738627,0,"0"
"371830540162015","2","4","2","8","2","4","3","9","2","10","11",0,0.000777181661224728,0,"0"
"371830540182011","2","2","3","7","2","2","3","7","2","9","9",47,0.0098050387185893,4793.45378931478,"28"
"371830540141093","3","3","1","7","3","4","2","9","4","11","13",137,0.0150188736324973,9121.85582969178,"38"
"371830511012005","4","5","5","14","4","5","5","14","5","19","19",33,0.0125363088247857,2632.35378620822,"12"
"371830514004004","5","5","5","15","5","5","5","15","5","20","20",52,0.0104546242359017,4973.87556230185,"30"
"371830501001002","5","4","5","14","5","5","5","15","4","18","19",67,0.00844527514254328,7933.43009779348,"32"
"371830506003026","5","5","5","15","5","5","5","15","5","20","20",13,0.00189116984720861,6874.05206845284,"6"
"371830507001009","5","5","5","15","5","5","5","15","5","20","20",150,0.0106778773481871,14047.7358101015,"61"
"371830507001008","5","5","5","15","5","5","5","15","5","20","20",44,0.00566314950223436,7769.52824265721,"17"
"371830509001016","5","5","5","15","5","5","5","15","5","20","20",734,0.0165388609438199,44380.3235599653,"3"
"371830509001021","5","5","5","15","5","5","5","15","5","20","20",32,0.00371195400054248,8620.79648490347,"18"
"371830509002015","5","5","5","15","5","5","5","15","5","20","20",4,0.0071415294014108,560.104114282552,"3"
"371830501001116","5","5","5","15","5","5","5","15","5","20","20",45,0.00474124587940927,9491.17618966573,"15"
"371830521021045","3","3","4","10","3","4","4","11","4","14","15",16,0.00194726399096799,8216.65684478989,"5"
"371830528064017","1","1","1","3","1","2","1","4","3","6","7",95,0.00749859373650534,12669.0421348622,"27"
"371830528064014","2","1","1","4","2","1","1","4","4","8","8",110,0.00963116702312975,11421.2534925237,"32"
"371830528072011","3","2","2","7","3","3","2","8","3","10","11",36,0.00525603136014337,6849.27420201276,"13"
"371830530031017","1","3","2","6","2","4","2","8","3","9","11",0,0.00511615904388517,0,"0"
"371830523021018","4","5","4","13","4","5","5","14","4","17","18",0,0.00805967222851421,0,"0"
"371830526021006","3","3","4","10","3","3","4","10","3","13","13",63,0.0266733712800654,2361.90616246112,"28"
"371830508002015","2","3","4","9","2","3","4","9","3","12","12",0,0.00770125663199836,0,"0"
"371830510001002","4","5","5","14","5","5","5","15","4","18","19",21,0.00523439433143395,4011.92548178675,"13"
"371830501001060","5","5","5","15","5","5","5","15","4","19","19",0,0.00815254403909169,0,"0"
"371830501001075","5","5","5","15","5","5","5","15","4","19","19",0,0.00294007750921583,0,"0"
"371830501001057","5","5","5","15","5","5","5","15","5","20","20",5,0.00527129883007557,948.532830556358,"2"
"371830528064058","2","1","1","4","2","2","1","5","4","8","9",34,0.00232303014872771,14636.0562813278,"7"
"371830541062023","1","1","1","3","1","1","2","4","2","5","6",0,0.00697555446955873,0,"0"
"371830537241057","2","5","2","9","2","5","2","9","2","11","11",0,0.0174337555048461,0,"0"
"371830542071091","3","5","1","9","3","5","1","9","3","12","12",175,0.0432008995009318,4050.84158019037,"46"
"371830542071089","4","5","1","10","4","5","1","10","3","13","13",132,0.0260248347649249,5072.07831259331,"38"
"371830538084020","4","4","3","11","4","4","3","11","4","15","15",43,0.0401562102484418,1070.81818064912,"12"
"371830514002001","4","5","5","14","4","5","5","14","4","18","18",113,0.0238969004647653,4728.64671996322,"57"
"371830537241066","1","5","2","8","1","5","2","8","2","10","10",0,0.00354251813160424,0,"0"
"371830537121015","5","3","3","11","5","3","3","11","5","16","16",56,0.00810647196161143,6908.06065390599,"15"
"371830537112014","4","5","2","11","4","5","2","11","4","15","15",48,0.0194082181874618,2473.17912115236,"15"
"371830540121000","2","3","3","8","2","3","3","8","3","11","11",140,0.0420110536758882,3332.45628829232,"46"
"371830540163019","2","5","3","10","2","5","3","10","4","14","14",24,0.0064770247806367,3705.40499887369,"9"
"371830527011009","4","3","4","11","4","3","4","11","2","13","13",53,0.0133286052331273,3976.41006489354,"23"
"371830540122004","5","5","4","14","5","5","4","14","2","16","16",19,0.00604137423393944,3144.97981159008,"7"
"371830540141022","4","3","1","8","4","4","2","10","5","13","15",147,0.00990525864590668,14840.6018716884,"42"
"371830515012035","3","4","4","11","4","4","5","13","3","14","16",0,0.000206139351765146,0,"0"
"371830537261011","4","5","3","12","4","5","3","12","4","16","16",0,0.000557128418166398,0,"0"
"371830514001015","5","5","5","15","5","5","5","15","4","19","19",59,0.0217781557242605,2709.13665725492,"24"
"371830514002010","4","5","5","14","4","5","5","14","4","18","18",90,0.0192562365835912,4673.81046183716,"39"
"371830512003012","5","5","5","15","5","5","5","15","4","19","19",43,0.00807174454150773,5327.22508484739,"15"
"371830515012033","3","4","4","11","3","4","5","12","3","14","15",0,0.000973170924739337,0,"0"
"371830506002007","5","4","5","14","5","5","5","15","4","18","19",12,0.0056087674432001,2139.50749813106,"4"
"371830537092007","1","5","2","8","1","5","2","8","3","11","11",67,0.00506149644347702,13237.1919546335,"36"
"371830537161003","4","5","4","13","4","5","4","13","5","18","18",105,0.0262269190728467,4003.52018886995,"53"
"371830537151012","5","5","3","13","5","5","4","14","5","18","19",111,0.0289594848078415,3832.94111537316,"59"
"371830537232009","2","1","2","5","3","1","3","7","4","9","11",2,0.000172755931552999,11577.0265137694,"1"
"371830537093023","1","5","1","7","1","5","1","7","3","10","10",24,0.00700177117389189,3427.70413427546,"12"
"371830537092030","1","5","2","8","1","5","2","8","3","11","11",0,0.0013714136064331,0,"0"
"371830517003002","5","4","4","13","5","4","5","14","5","18","19",0,5.59132639596163e-05,0,"0"
"371830537241089","4","5","3","12","4","5","3","12","2","14","14",0,0.0581960764019957,0,"0"
"371830540043011","3","3","3","9","3","4","4","11","2","11","13",47,0.00308951816219606,15212.7281771964,"27"
"371830537093014","1","5","1","7","1","5","1","7","2","9","9",11,0.00109994600228497,10000.4909124168,"4"
"371830540163020","2","4","2","8","2","4","3","9","4","12","13",120,0.0161604181943003,7425.55041318941,"38"
"371830510002006","5","5","5","15","5","5","5","15","5","20","20",2,0.0274837876688202,72.7701736056183,"1"
"371830524062033","2","4","3","9","3","4","4","11","3","12","14",10,0.00429000905008857,2330.99741358204,"6"
"371830525061008","3","3","3","9","3","3","3","9","3","12","12",0,0.00119028088176235,0,"0"
"371830512003016","5","5","5","15","5","5","5","15","4","19","19",0,0.00208633346344045,0,"0"
"371830505001018","5","4","5","14","5","5","5","15","3","17","18",38,0.00555583040729845,6839.66161927496,"25"
"371830518001002","2","4","4","10","4","4","5","13","5","15","18",0,0.0425178643986187,0,"0"
"371830505003022","4","4","5","13","4","5","5","14","3","16","17",0,0.00543628403316283,0,"0"
"371830505002016","4","4","5","13","5","5","5","15","3","16","18",18,0.0038039233135668,4731.95659223794,"12"
"371830528072061","1","1","1","3","1","1","1","3","2","5","5",3,0.00441646606310718,679.276135519395,"1"
"371830523023033","1","5","3","9","2","5","3","10","3","12","13",88,0.00310584733671891,28333.6527715381,"28"
"371830545003001","2","2","3","7","2","3","4","9","3","10","12",0,0.00230582272405532,0,"0"
"371830530031013","2","3","2","7","2","4","2","8","3","10","11",0,0.00375034445623462,0,"0"
"371830523023000","4","5","3","12","5","5","4","14","3","15","17",43,0.00381078847783327,11283.7540708764,"26"
"371830523013033","2","5","3","10","2","5","3","10","3","13","13",0,0.0134763867938078,0,"0"
"371830545002016","2","3","4","9","2","3","4","9","3","12","12",0,0.00550178666581103,0,"0"
"371830537131001","5","3","3","11","5","3","3","11","5","16","16",47,0.0102703153244624,4576.29571392542,"15"
"371830537111004","5","5","2","12","5","5","2","12","2","14","14",36,0.00564067571521343,6382.2140852566,"9"
"371830540134020","2","5","2","9","2","5","2","9","5","14","14",0,0.000953017149981525,0,"0"
"371830540134007","2","5","2","9","2","5","2","9","5","14","14",29,0.00534829212978764,5422.29169541483,"11"
"371830540141025","4","3","1","8","4","4","2","10","4","12","14",28,0.0018053969282381,15509.0548577178,"12"
"371830511012006","4","4","4","12","4","4","5","13","5","17","18",56,0.0329331348386907,1700.41510698246,"19"
"371830524011093","1","5","3","9","1","5","3","9","5","14","14",0,0.00394749454848262,0,"0"
"371830525043013","5","5","4","14","5","5","4","14","4","18","18",16,0.0216891926593164,737.694586023578,"7"
"371830537091013","1","5","2","8","1","5","2","8","3","11","11",64,0.00387549983651936,16513.9988903933,"39"
"371830526021013","4","2","4","10","4","2","4","10","2","12","12",69,0.0212084599944489,3253.41868377337,"32"
"371830524072008","3","5","4","12","4","5","4","13","3","15","16",0,0.00383178552607043,0,"0"
"371830520024010","4","4","5","13","4","4","5","13","3","16","16",43,0.0100905430928001,4261.41582316634,"16"
"371830524062010","1","5","2","8","2","5","3","10","3","11","13",31,0.00336574978270737,9210.42917666445,"15"
"371830504002007","5","4","5","14","5","4","5","14","3","17","17",85,0.0155762232822552,5457.03528125679,"57"
"371830527051022","3","3","4","10","3","3","4","10","2","12","12",36,0.0039992105610989,9001.77658815444,"16"
"371830541053013","3","2","1","6","3","2","2","7","4","10","11",82,0.00654778701197208,12523.3151063206,"51"
"371830525061010","2","3","3","8","2","3","3","8","3","11","11",66,0.00385104141308656,17138.2213070261,"61"
"371830527071000","2","2","3","7","4","3","3","10","2","9","12",0,0.00166934932070313,0,"0"
"371830527073008","3","3","3","9","3","4","4","11","2","11","13",55,0.00545661912699046,10079.5013762184,"18"
"371830542071041","2","4","1","7","2","4","1","7","2","9","9",56,0.00951714253714527,5884.11908106165,"12"
"371830542081085","1","2","1","4","1","2","1","4","2","6","6",0,0.0395692653328633,0,"0"
"371830528033027","1","2","3","6","1","3","4","8","3","9","11",27,0.00102773219820059,26271.4353479176,"8"
"371830542081120","2","4","1","7","2","5","1","8","3","10","11",3,0.039053591604445,76.8175186135388,"1"
"371830521011035","2","2","3","7","2","2","4","8","2","9","10",61,0.00581845145528958,10483.889135922,"20"
"371830537261002","3","5","2","10","3","5","2","10","4","14","14",94,0.0200097063219825,4697.72012079618,"35"
"371830537191012","1","1","1","3","5","1","2","8","1","4","9",83,0.00755163309437828,10991.000087357,"21"
"371830537252039","1","5","2","8","1","5","2","8","3","11","11",115,0.00834718999855477,13777.0914547184,"62"
"371830524011018","2","5","2","9","2","5","2","9","3","12","12",0,0.0130167014434526,0,"0"
"371830536101007","1","5","1","7","1","5","1","7","1","8","8",0,0.00271358633082912,0,"0"
"371830525072025","1","1","2","4","1","1","2","4","5","9","9",19,0.00622623767056243,3051.60210793619,"8"
"371830540141048","3","4","2","9","3","5","2","10","4","13","14",49,0.00294682775237967,16628.0502687783,"25"
"371830540151042","4","4","3","11","4","4","3","11","2","13","13",0,0.00556816033452631,0,"0"
"371830540151047","4","4","3","11","4","4","3","11","2","13","13",0,0.00517254578387182,0,"0"
"371830540132012","1","4","1","6","1","5","2","8","5","11","13",57,0.0064423465060493,8847.70788818602,"25"
"371830541041024","2","3","2","7","2","4","3","9","3","10","12",0,0.00151660956537177,0,"0"
"371830541041019","1","3","2","6","3","4","3","10","4","10","14",2,0.00278718839605592,717.569003527048,"1"
"371830540171038","2","3","2","7","2","4","2","8","2","9","10",0,0.0277256285034878,0,"0"
"371830537092014","1","5","2","8","1","5","2","8","3","11","11",41,0.00238745760696506,17173.0797985223,"21"
"371830540121011","4","4","4","12","4","4","4","12","2","14","14",29,0.0239625451929687,1210.22202635258,"12"
"371830524093009","4","5","4","13","4","5","4","13","5","18","18",134,0.00676149122770327,19818.1134142382,"66"
